Date,Open,High,Low,Close,Adj Close,Volume
15-May-23,111.15,112.29,109.25,111.2,111.2,"53,011,100"
12-May-23,112.16,112.64,109.32,110.26,110.26,"49,810,100"
11-May-23,111.03,113.28,110.49,112.18,112.18,"74,924,800"
10-May-23,108.1,110.67,108.05,110.19,110.19,"78,627,600"
09-May-23,105.48,106.79,105.16,106.62,106.62,"44,089,400"
08-May-23,105.04,106.1,104.7,105.83,105.83,"49,430,900"
05-May-23,104.27,105.76,103.55,105.66,105.66,"56,912,900"
04-May-23,104.04,105.39,103.31,104,104,"45,345,500"
03-May-23,103.74,105.96,103.28,103.65,103.65,"65,051,900"
02-May-23,101.47,103.9,101.15,103.63,103.63,"73,469,400"
01-May-23,104.95,105.23,101.82,102.05,102.05,"74,728,100"
28-Apr-23,107.73,109.48,104.33,105.45,105.45,"130,565,000"
27-Apr-23,108.16,110.86,106.8,109.82,109.82,"149,961,200"
26-Apr-23,105.04,106.62,104.1,104.98,104.98,"73,803,800"
25-Apr-23,104.91,105.45,102.45,102.57,102.57,"65,026,800"
24-Apr-23,107.66,109.23,105.07,106.21,106.21,"69,575,600"
21-Apr-23,106.1,108.15,105.08,106.96,106.96,"86,774,200"
20-Apr-23,103.53,105.25,103.21,103.81,103.81,"57,696,900"
19-Apr-23,101.58,105.12,101.39,104.3,104.3,"58,398,900"
18-Apr-23,103.95,104.2,101.52,102.3,102.3,"39,790,500"
17-Apr-23,103.16,103.73,101.59,102.74,102.74,"39,919,500"
14-Apr-23,102.07,103.2,101.11,102.51,102.51,"51,450,500"
13-Apr-23,98.95,102.57,98.71,102.4,102.4,"67,925,100"
12-Apr-23,100.4,100.51,97.71,97.83,97.83,"56,735,000"
11-Apr-23,100.8,101,99.01,99.92,99.92,"60,417,800"
10-Apr-23,100.96,102.2,99.57,102.17,102.17,"37,261,200"
06-Apr-23,100.75,102.38,99.8,102.06,102.06,"43,808,000"
05-Apr-23,103.91,103.91,100.75,101.1,101.1,"45,175,400"
04-Apr-23,102.75,104.2,102.11,103.95,103.95,"48,662,500"
03-Apr-23,102.3,103.29,101.43,102.41,102.41,"41,135,700"
31-Mar-23,102.16,103.49,101.95,103.29,103.29,"56,750,300"
30-Mar-23,101.55,103.04,101.01,102,102,"53,633,400"
29-Mar-23,98.69,100.42,98.56,100.25,100.25,"49,783,300"
28-Mar-23,98.11,98.44,96.29,97.24,97.24,"38,720,100"
27-Mar-23,99.07,99.34,97.08,98.04,98.04,"46,721,300"
24-Mar-23,98.07,98.3,96.4,98.13,98.13,"56,095,400"
23-Mar-23,100.43,101.06,97.62,98.71,98.71,"57,559,300"
22-Mar-23,100.45,102.1,98.61,98.7,98.7,"57,475,400"
21-Mar-23,98.14,100.85,98,100.61,100.61,"58,597,300"
20-Mar-23,98.41,98.48,95.7,97.71,97.71,"62,388,900"
17-Mar-23,99.79,100.66,97.46,98.95,98.95,"87,300,200"
16-Mar-23,95.75,100.99,95.61,100.04,100.04,"84,446,900"
15-Mar-23,93.22,96.67,93.07,96.2,96.2,"70,731,800"
14-Mar-23,93.83,95.07,92.71,94.88,94.88,"60,912,700"
13-Mar-23,89.97,94.02,88.12,92.43,92.43,"72,397,100"
10-Mar-23,92.67,93.57,90.25,90.73,90.73,"69,827,500"
09-Mar-23,93.68,96.21,92.18,92.25,92.25,"56,218,700"
08-Mar-23,93.6,94.17,92.18,93.92,93.92,"44,899,100"
07-Mar-23,94.06,95.09,92.78,93.55,93.55,"49,100,700"
06-Mar-23,95.19,96.55,93.74,93.75,93.75,"52,112,400"
03-Mar-23,92.74,94.94,92.66,94.9,94.9,"55,759,600"
02-Mar-23,91.41,92.23,90.39,92.13,92.13,"55,509,400"
01-Mar-23,93.87,94.68,91.59,92.17,92.17,"52,299,500"
28-Feb-23,93.14,94.69,92.92,94.23,94.23,"43,959,300"
27-Feb-23,94.28,94.78,93.14,93.76,93.76,"47,470,300"
24-Feb-23,93.53,94.14,92.32,93.5,93.5,"57,053,800"
23-Feb-23,96.12,96.43,93.67,95.82,95.82,"48,467,000"
22-Feb-23,95.1,97.01,94.8,95.79,95.79,"59,534,100"
21-Feb-23,95.34,95.61,94.27,94.58,94.58,"56,580,400"
17-Feb-23,97.8,97.94,95.65,97.2,97.2,"60,029,400"
16-Feb-23,99.21,100.63,98.1,98.15,98.15,"56,339,200"
15-Feb-23,99.09,101.17,98.45,101.16,101.16,"47,957,600"
14-Feb-23,98.41,100.92,97.52,99.7,99.7,"56,202,900"
13-Feb-23,97.85,99.68,96.91,99.54,99.54,"52,841,500"
10-Feb-23,97.56,98.82,96.23,97.61,97.61,"52,740,100"
09-Feb-23,101.32,101.78,97.57,98.24,98.24,"64,622,500"
08-Feb-23,102.04,102.67,98.78,100.05,100.05,"75,878,300"
07-Feb-23,101.17,102.41,98.08,102.11,102.11,"119,501,300"
06-Feb-23,102.93,103.95,100.65,102.18,102.18,"81,945,200"
03-Feb-23,105.26,108.78,102.52,103.39,103.39,"144,374,800"
02-Feb-23,110.25,114,108.88,112.91,112.91,"158,154,200"
01-Feb-23,102.53,106.24,101.24,105.15,105.15,"80,450,100"
31-Jan-23,101.16,103.35,101.14,103.13,103.13,"66,527,300"
30-Jan-23,101.09,101.74,99.01,100.55,100.55,"70,691,900"
27-Jan-23,99.53,103.49,99.53,102.24,102.24,"87,775,600"
26-Jan-23,98.24,99.49,96.92,99.22,99.22,"68,523,600"
25-Jan-23,92.56,97.24,91.52,97.18,97.18,"94,261,600"
24-Jan-23,96.93,98.09,96,96.32,96.32,"66,929,500"
23-Jan-23,97.56,97.78,95.86,97.52,97.52,"76,501,100"
20-Jan-23,93.86,97.35,93.2,97.25,97.25,"67,481,500"
19-Jan-23,94.74,95.44,92.86,93.68,93.68,"69,002,700"
18-Jan-23,97.25,99.32,95.38,95.46,95.46,"79,570,400"
17-Jan-23,98.68,98.89,95.73,96.05,96.05,"72,755,000"
13-Jan-23,94.18,98.37,94.12,98.12,98.12,"85,549,400"
12-Jan-23,96.93,97.19,93.5,95.27,95.27,"85,254,800"
